%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1640776787144728247,0,1021.0,690.0,1023.0,793.0
1640776787256075187,0,1023.0,687.0,1023.0,793.0
1640776787352800256,0,1021.0,688.0,1023.0,791.0
1640776787448581470,0,1023.0,688.0,1022.0,794.0
1640776787559493643,0,1023.0,685.0,1023.0,791.0
1640776787656391523,0,1020.0,690.0,1021.0,792.0
1640776787752243599,0,1023.0,687.0,1023.0,793.0
1640776787863120996,0,1023.0,687.0,1023.0,792.0
1640776787960809291,0,1023.0,688.0,1021.0,796.0
1640776788070899528,0,1019.0,687.0,1023.0,792.0
1640776788166857236,0,1020.0,689.0,1021.0,795.0
1640776788262874201,0,1023.0,686.0,1023.0,793.0
1640776788374495344,0,1022.0,688.0,1023.0,792.0
1640776788471389012,0,1023.0,688.0,1023.0,796.0
1640776788567293501,0,1023.0,686.0,1023.0,793.0
1640776788678038420,0,1021.0,687.0,1023.0,792.0
1640776788774992651,0,1023.0,688.0,1021.0,795.0
1640776788870398826,0,1023.0,684.0,1023.0,792.0
1640776788981692221,0,1022.0,688.0,1023.0,794.0
1640776789078234162,0,1023.0,686.0,1023.0,795.0
1640776789174250551,0,1023.0,687.0,1023.0,792.0
1640776789285368795,0,1023.0,687.0,1022.0,795.0
1640776789381905424,0,1023.0,685.0,1023.0,793.0
1640776789478234827,0,1021.0,688.0,1022.0,793.0
1640776789588882068,0,1023.0,688.0,1020.0,795.0
1640776789685407146,0,1023.0,685.0,1023.0,791.0
1640776789781438577,0,1021.0,689.0,1021.0,793.0
1640776789892476768,0,1023.0,687.0,1023.0,794.0
1640776789991659319,0,1023.0,686.0,1023.0,792.0
1640776790084551573,0,1021.0,689.0,1019.0,794.0
1640776790197450584,0,1023.0,686.0,1023.0,793.0
1640776790293752584,0,1023.0,685.0,1023.0,791.0
1640776790388185844,0,1021.0,688.0,1022.0,794.0
1640776790499834013,0,1023.0,685.0,1023.0,793.0
1640776790595956244,0,1023.0,687.0,1023.0,792.0
1640776790693497516,0,1022.0,686.0,1023.0,794.0
1640776790803517391,0,1023.0,689.0,1021.0,795.0
1640776790900001498,0,1023.0,686.0,1023.0,795.0
1640776790995961278,0,1023.0,686.0,1023.0,792.0
1640776791107062852,0,1021.0,688.0,1019.0,794.0
1640776791203585975,0,1023.0,687.0,1022.0,794.0
1640776791314876846,0,1023.0,686.0,1023.0,794.0
1640776791412781982,0,1022.0,690.0,1023.0,793.0
1640776791506575636,0,1023.0,687.0,1023.0,795.0
