%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1640776787132034304,0,101.336471558,82.9989624023,101.110786438,289.476470947
1640776787155556170,0,101.336471558,82.9989624023,101.110786438,289.476470947
1640776787177076066,0,100.706062317,86.7665100098,101.110786438,286.297149658
1640776787194269655,0,100.706062317,86.7665100098,101.110786438,286.297149658
1640776787220047609,0,100.706062317,86.7665100098,101.110786438,286.297149658
1640776787231828580,0,100.706062317,86.7665100098,101.110786438,286.297149658
1640776787252083620,0,100.706062317,86.7665100098,101.110786438,286.297149658
1640776787274346237,0,100.706062317,86.7665100098,101.110786438,286.297149658
1640776787292568883,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787319871331,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787332110535,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787352713473,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787373811487,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787396223564,0,100.706062317,84.8827362061,101.110786438,292.655792236
1640776787420936308,0,100.706062317,84.8827362061,101.110786438,292.655792236
1640776787432285006,0,100.706062317,84.8827362061,101.110786438,292.655792236
1640776787454756938,0,100.706062317,84.8827362061,101.110786438,292.655792236
1640776787473048876,0,101.336471558,84.8827362061,100.830047607,283.117858887
1640776787493583709,0,101.336471558,84.8827362061,100.830047607,283.117858887
1640776787520396253,0,101.336471558,84.8827362061,100.830047607,283.117858887
1640776787532498373,0,101.336471558,84.8827362061,100.830047607,283.117858887
1640776787553185165,0,101.336471558,84.8827362061,100.830047607,283.117858887
1640776787573101384,0,101.336471558,84.8827362061,100.830047607,283.117858887
1640776787593489519,0,101.336471558,82.0570755005,101.110786438,292.655792236
1640776787621019431,0,101.336471558,82.0570755005,101.110786438,292.655792236
1640776787631739642,0,101.336471558,82.0570755005,101.110786438,292.655792236
1640776787652690300,0,101.336471558,82.0570755005,101.110786438,292.655792236
1640776787673678085,0,101.336471558,82.0570755005,101.110786438,292.655792236
1640776787693172629,0,100.390853882,86.7665100098,100.549308777,289.476470947
1640776787721038535,0,100.390853882,86.7665100098,100.549308777,289.476470947
1640776787731939536,0,100.390853882,86.7665100098,100.549308777,289.476470947
1640776787752791569,0,100.390853882,86.7665100098,100.549308777,289.476470947
1640776787773561810,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787794105113,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787820787590,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787832195166,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787862328245,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787873184241,0,101.336471558,83.9408493042,101.110786438,286.297149658
1640776787893098268,0,101.336471558,83.9408493042,101.110786438,289.476470947
1640776787914180110,0,101.336471558,83.9408493042,101.110786438,289.476470947
1640776787941186678,0,101.336471558,83.9408493042,101.110786438,289.476470947
