%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1640845744776421179,0,100.489898682,89.0659637451,100.161941528,2516.84130859
1640845744796993643,0,100.489898682,89.0659637451,100.161941528,2516.84130859
1640845744824036584,0,100.489898682,89.0659637451,100.161941528,2516.84130859
1640845744836650520,0,100.964767456,87.3765792847,100.718231201,2763.84741211
1640845744856812622,0,100.964767456,87.3765792847,100.718231201,2763.84741211
1640845744877501040,0,100.964767456,87.3765792847,100.718231201,2763.84741211
1640845744897619979,0,100.964767456,87.3765792847,100.718231201,2763.84741211
1640845744924390843,0,100.964767456,87.3765792847,100.718231201,2763.84741211
1640845744937287115,0,100.964767456,88.5028381348,100.718231201,2741.39233398
1640845744956538786,0,100.964767456,88.5028381348,100.718231201,2741.39233398
1640845744977509746,0,100.964767456,88.5028381348,100.718231201,2741.39233398
1640845744996906660,0,100.964767456,88.5028381348,100.718231201,2741.39233398
1640845745025425823,0,100.964767456,87.3765792847,100.532806396,2808.75756836
1640845745036989741,0,100.964767456,87.3765792847,100.532806396,2808.75756836
1640845745056651976,0,100.964767456,87.3765792847,100.532806396,2808.75756836
1640845745077981532,0,100.964767456,87.3765792847,100.532806396,2808.75756836
1640845745096725924,0,100.964767456,87.3765792847,100.532806396,2808.75756836
1640845745125069181,0,100.964767456,87.3765792847,100.532806396,2808.75756836
1640845745137239615,0,100.964767456,86.8134536743,100.718231201,2696.48193359
1640845745156751815,0,100.964767456,86.8134536743,100.718231201,2696.48193359
1640845745177281700,0,100.964767456,86.8134536743,100.718231201,2696.48193359
1640845745197626075,0,100.964767456,86.8134536743,100.718231201,2696.48193359
1640845745218638268,0,100.964767456,86.8134536743,100.718231201,2696.48193359
1640845745243644416,0,100.015037537,87.939704895,100.718231201,2741.39233398
1640845745256966030,0,100.015037537,87.939704895,100.718231201,2741.39233398
1640845745276957467,0,100.015037537,87.939704895,100.718231201,2741.39233398
1640845745296622685,0,100.015037537,87.939704895,100.718231201,2741.39233398
1640845745320529464,0,100.015037537,87.939704895,100.718231201,2741.39233398
1640845745344267254,0,100.252471924,90.1922149658,100.347373962,2808.75756836
1640845745358703500,0,100.252471924,90.1922149658,100.347373962,2808.75756836
1640845745376528162,0,100.252471924,90.1922149658,100.347373962,2808.75756836
1640845745399517547,0,100.252471924,90.1922149658,100.347373962,2808.75756836
1640845745416927248,0,100.252471924,90.1922149658,100.347373962,2808.75756836
1640845745445543311,0,100.964767456,86.8134536743,100.718231201,1304.26647949
1640845745456125758,0,100.964767456,86.8134536743,100.718231201,1304.26647949
1640845745477102206,0,100.964767456,86.8134536743,100.718231201,1304.26647949
1640845745497549095,0,100.964767456,86.8134536743,100.718231201,1304.26647949
1640845745518295599,0,100.964767456,86.8134536743,100.718231201,1304.26647949
1640845745544396600,0,100.964767456,87.939704895,100.718231201,787.799377441
1640845745557253205,0,100.964767456,87.939704895,100.718231201,787.799377441
