%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1641504750383861761,0,1011.0,1023.0,1018.0,1023.0
1641504750492690620,0,1010.0,1023.0,1016.0,1023.0
1641504750588837883,0,1007.0,1023.0,1016.0,1023.0
1641504750684660107,0,1011.0,1023.0,1018.0,1023.0
1641504750796321817,0,1007.0,1023.0,1014.0,1023.0
1641504750892547157,0,1004.0,1023.0,1017.0,1022.0
1641504750988725818,0,1011.0,1023.0,1015.0,1023.0
1641504751099650190,0,1004.0,1023.0,1015.0,1023.0
1641504751196313797,0,1008.0,1023.0,1014.0,1023.0
1641504751292786587,0,1012.0,1023.0,1015.0,1023.0
1641504751408458415,0,1005.0,1023.0,1013.0,1023.0
1641504751502721126,0,1009.0,1021.0,1016.0,1023.0
1641504751595845589,0,1008.0,1023.0,1016.0,1023.0
1641504751708451782,0,1010.0,1023.0,1014.0,1023.0
1641504751803675040,0,1008.0,1023.0,1016.0,1023.0
1641504751914347909,0,1006.0,1023.0,1014.0,1023.0
1641504752010633945,0,1007.0,1023.0,1016.0,1023.0
1641504752106682251,0,1009.0,1022.0,1014.0,1023.0
1641504752217968941,0,1007.0,1023.0,1013.0,1023.0
1641504752314631635,0,1009.0,1023.0,1015.0,1023.0
1641504752410250604,0,1010.0,1022.0,1018.0,1022.0
1641504752521537244,0,1012.0,1023.0,1015.0,1023.0
1641504752618249807,0,1008.0,1023.0,1015.0,1023.0
1641504752714056284,0,1011.0,1023.0,1017.0,1023.0
1641504752825228921,0,1012.0,1023.0,1016.0,1023.0
1641504752921202875,0,1010.0,1023.0,1016.0,1023.0
1641504753017424010,0,1011.0,1023.0,1018.0,1023.0
1641504753128449848,0,1014.0,1023.0,1018.0,1022.0
1641504753224886789,0,1012.0,1023.0,1017.0,1023.0
1641504753320657275,0,1014.0,1023.0,1017.0,1023.0
1641504753432018145,0,1014.0,1023.0,1019.0,1022.0
1641504753528533455,0,1015.0,1023.0,1019.0,1023.0
1641504753623822476,0,1011.0,1023.0,1016.0,1023.0
1641504753737418663,0,1012.0,1023.0,1019.0,1022.0
