%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1641504750341803355,0,93.7079925537,100.038818359,98.6403198242,100.018600464
1641504750363465133,0,93.7079925537,100.038818359,98.6403198242,100.018600464
1641504750384100888,0,93.7079925537,100.038818359,98.6403198242,100.018600464
1641504750413785793,0,93.7079925537,100.038818359,98.6403198242,100.018600464
1641504750421409771,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750443585568,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750462712514,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750483299167,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750511459530,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750521370818,0,95.2268829346,100.038818359,98.6403198242,100.018600464
1641504750543175164,0,95.2268829346,100.038818359,98.6403198242,100.018600464
1641504750561857275,0,95.2268829346,100.038818359,98.6403198242,100.018600464
1641504750581645182,0,95.2268829346,100.038818359,98.6403198242,100.018600464
1641504750609925250,0,95.2268829346,100.038818359,98.6403198242,100.018600464
1641504750621991649,0,94.0877151489,100.038818359,98.6403198242,100.018600464
1641504750641683758,0,94.0877151489,100.038818359,98.6403198242,100.018600464
1641504750666499081,0,94.0877151489,100.038818359,98.6403198242,100.018600464
1641504750682564244,0,94.0877151489,100.038818359,98.6403198242,100.018600464
1641504750711045909,0,94.0877151489,100.038818359,98.6403198242,100.018600464
1641504750722698517,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750744257002,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750762394861,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750786931143,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750802575654,0,95.6066055298,100.038818359,99.0315933228,100.018600464
1641504750830653356,0,94.0877151489,100.038818359,98.2490463257,100.018600464
1641504750842030585,0,94.0877151489,100.038818359,98.2490463257,100.018600464
1641504750862109104,0,94.0877151489,100.038818359,98.2490463257,100.018600464
1641504750883415607,0,94.0877151489,100.038818359,98.2490463257,100.018600464
1641504750909761607,0,94.0877151489,100.038818359,98.2490463257,100.018600464
1641504750929446975,0,92.9485473633,100.038818359,98.8359603882,99.8119430542
1641504750942839595,0,92.9485473633,100.038818359,98.8359603882,99.8119430542
1641504750963653353,0,92.9485473633,100.038818359,98.8359603882,99.8119430542
1641504750982718587,0,92.9485473633,100.038818359,98.8359603882,99.8119430542
1641504751003622586,0,92.9485473633,100.038818359,98.8359603882,99.8119430542
1641504751033547291,0,95.6066055298,100.038818359,98.4446868896,100.018600464
1641504751041510229,0,95.6066055298,100.038818359,98.4446868896,100.018600464
1641504751061978215,0,95.6066055298,100.038818359,98.4446868896,100.018600464
1641504751082245283,0,95.6066055298,100.038818359,98.4446868896,100.018600464
1641504751102007138,0,95.6066055298,100.038818359,98.4446868896,100.018600464
1641504751130442234,0,92.9485473633,100.038818359,98.4446868896,100.018600464
1641504751141877545,0,92.9485473633,100.038818359,98.4446868896,100.018600464
1641504751163734695,0,92.9485473633,100.038818359,98.4446868896,100.018600464
1641504751181966973,0,92.9485473633,100.038818359,98.4446868896,100.018600464
1641504751202956026,0,92.9485473633,100.038818359,98.4446868896,100.018600464
1641504751229640025,0,94.4674377441,100.038818359,98.2490463257,100.018600464
1641504751241854611,0,94.4674377441,100.038818359,98.2490463257,100.018600464
1641504751262141658,0,94.4674377441,100.038818359,98.2490463257,100.018600464
1641504751281834047,0,94.4674377441,100.038818359,98.2490463257,100.018600464
1641504751302695622,0,94.4674377441,100.038818359,98.2490463257,100.018600464
1641504751331149789,0,95.986328125,100.038818359,98.4446868896,100.018600464
1641504751341331590,0,95.986328125,100.038818359,98.4446868896,100.018600464
1641504751363727608,0,95.986328125,100.038818359,98.4446868896,100.018600464
1641504751383405497,0,95.986328125,100.038818359,98.4446868896,100.018600464
1641504751403895068,0,95.986328125,100.038818359,98.4446868896,100.018600464
1641504751430394774,0,95.986328125,100.038818359,98.4446868896,100.018600464
1641504751441562676,0,93.3282699585,100.038818359,98.0534057617,100.018600464
1641504751463300466,0,93.3282699585,100.038818359,98.0534057617,100.018600464
1641504751481741809,0,93.3282699585,100.038818359,98.0534057617,100.018600464
1641504751504420838,0,93.3282699585,100.038818359,98.0534057617,100.018600464
1641504751521745371,0,94.8471603394,99.6858978271,98.6403198242,100.018600464
1641504751550449727,0,94.8471603394,99.6858978271,98.6403198242,100.018600464
1641504751563474650,0,94.8471603394,99.6858978271,98.6403198242,100.018600464
1641504751582100262,0,94.8471603394,99.6858978271,98.6403198242,100.018600464
1641504751607405471,0,94.8471603394,99.6858978271,98.6403198242,100.018600464
1641504751623777557,0,94.4674377441,100.038818359,98.6403198242,100.018600464
1641504751651347498,0,94.4674377441,100.038818359,98.6403198242,100.018600464
1641504751666451052,0,94.4674377441,100.038818359,98.6403198242,100.018600464
