%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1641507344405818900,0,848.0,1023.0,1022.0,1023.0
1641507344516506095,0,844.0,1021.0,1023.0,1023.0
1641507344613248624,0,845.0,1023.0,1023.0,1022.0
1641507344708265272,0,845.0,1023.0,1022.0,1023.0
1641507344823733312,0,844.0,1021.0,1023.0,1023.0
1641507344916559999,0,842.0,1023.0,1023.0,1023.0
1641507345012128316,0,841.0,1023.0,1023.0,1023.0
1641507345123553163,0,840.0,1023.0,1023.0,1023.0
1641507345219541502,0,838.0,1023.0,1023.0,1023.0
1641507345315969950,0,839.0,1023.0,1023.0,1022.0
1641507345427068094,0,841.0,1023.0,1022.0,1023.0
1641507345523058528,0,842.0,1023.0,1023.0,1023.0
1641507345623499239,0,838.0,1023.0,1023.0,1023.0
1641507345733870401,0,840.0,1023.0,1023.0,1022.0
1641507345828719286,0,837.0,1023.0,1023.0,1023.0
1641507345938333525,0,837.0,1023.0,1023.0,1023.0
1641507346035957823,0,838.0,1023.0,1023.0,1022.0
1641507346131150378,0,837.0,1023.0,1023.0,1023.0
1641507346241854414,0,839.0,1022.0,1023.0,1021.0
1641507346337719306,0,841.0,1023.0,1023.0,1023.0
1641507346435380476,0,839.0,1021.0,1023.0,1023.0
1641507346545319055,0,841.0,1023.0,1023.0,1023.0
1641507346643498253,0,837.0,1023.0,1023.0,1023.0
1641507346737846210,0,837.0,1023.0,1023.0,1022.0
1641507346848855014,0,837.0,1023.0,1022.0,1023.0
1641507346946071849,0,840.0,1023.0,1023.0,1022.0
1641507347044933359,0,833.0,1023.0,1022.0,1023.0
1641507347152491721,0,830.0,1022.0,1023.0,1023.0
1641507347248396837,0,834.0,1023.0,1023.0,1023.0
1641507347344827541,0,833.0,1022.0,1023.0,1023.0
1641507347456190923,0,833.0,1023.0,1022.0,1023.0
1641507347554339922,0,833.0,1023.0,1023.0,1023.0
1641507347647936799,0,834.0,1022.0,1023.0,1022.0
1641507347763751947,0,831.0,1023.0,1021.0,1023.0
1641507347856624453,0,835.0,1021.0,1023.0,1023.0
1641507347954367788,0,829.0,1023.0,1023.0,1023.0
1641507348063162011,0,833.0,1023.0,1023.0,1023.0
1641507348159478254,0,828.0,1023.0,1023.0,1023.0
1641507348255485426,0,832.0,1023.0,1019.0,1023.0
1641507348367755597,0,829.0,1023.0,1022.0,1023.0
1641507348462706821,0,828.0,1023.0,1022.0,1023.0
1641507348574282713,0,833.0,1023.0,1023.0,1023.0
1641507348670206578,0,832.0,1023.0,1023.0,1022.0
1641507348766939157,0,828.0,1023.0,1023.0,1023.0
1641507348878433156,0,833.0,1019.0,1023.0,1023.0
1641507348973771024,0,833.0,1023.0,1023.0,1023.0
1641507349070717251,0,837.0,1021.0,1023.0,1023.0
1641507349181439492,0,835.0,1023.0,1023.0,1022.0
1641507349277489018,0,832.0,1023.0,1022.0,1023.0
1641507349373341186,0,832.0,1022.0,1023.0,1023.0
