%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1641507344418079437,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344434471010,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344455473673,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344481011882,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344493586939,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344514410043,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344534278370,0,66.8970718384,100.08379364,99.8645095825,100.04283905
1641507344561184814,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344574078044,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344595252334,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344616933714,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344634298742,0,66.328163147,100.08379364,100.050117493,99.8048400879
1641507344661657087,0,66.328163147,100.08379364,100.050117493,99.8048400879
1641507344673870022,0,66.328163147,100.08379364,100.050117493,99.8048400879
1641507344694762387,0,66.328163147,100.08379364,100.050117493,99.8048400879
1641507344713799422,0,66.328163147,100.08379364,100.050117493,99.8048400879
1641507344742660860,0,66.328163147,100.08379364,99.8645095825,100.04283905
1641507344754492224,0,66.328163147,100.08379364,99.8645095825,100.04283905
1641507344779455262,0,66.328163147,100.08379364,99.8645095825,100.04283905
1641507344800108314,0,66.328163147,100.08379364,99.8645095825,100.04283905
1641507344821301952,0,66.328163147,100.08379364,99.8645095825,100.04283905
1641507344834084565,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344854481620,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344873971353,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344908850602,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344913444773,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344934040689,0,66.1385269165,99.761505127,100.050117493,100.04283905
1641507344962463580,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507344974135338,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507344995041260,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345015572856,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345040427245,0,65.5696182251,100.08379364,100.050117493,100.04283905
1641507345054128486,0,65.5696182251,100.08379364,100.050117493,100.04283905
1641507345074240498,0,65.5696182251,100.08379364,100.050117493,100.04283905
1641507345095998711,0,65.5696182251,100.08379364,100.050117493,100.04283905
1641507345114155028,0,65.5696182251,100.08379364,100.050117493,100.04283905
1641507345143404162,0,65.5696182251,100.08379364,100.050117493,100.04283905
1641507345154174819,0,65.3799819946,100.08379364,100.050117493,100.04283905
1641507345174354044,0,65.3799819946,100.08379364,100.050117493,100.04283905
1641507345193997364,0,65.3799819946,100.08379364,100.050117493,100.04283905
1641507345214310211,0,65.3799819946,100.08379364,100.050117493,100.04283905
1641507345241185411,0,65.3799819946,100.08379364,100.050117493,100.04283905
1641507345253990895,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345273576767,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345296320573,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345315938490,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345333462556,0,65.1903457642,100.08379364,100.050117493,99.8048400879
1641507345358503673,0,65.1903457642,100.08379364,100.050117493,99.8048400879
1641507345373581418,0,65.1903457642,100.08379364,100.050117493,99.8048400879
1641507345393996149,0,65.1903457642,100.08379364,100.050117493,99.8048400879
1641507345422667880,0,65.1903457642,100.08379364,100.050117493,99.8048400879
1641507345433965029,0,65.1903457642,100.08379364,100.050117493,99.8048400879
1641507345454256262,0,65.5696182251,100.08379364,99.8645095825,100.04283905
1641507345475483698,0,65.5696182251,100.08379364,99.8645095825,100.04283905
1641507345493463957,0,65.5696182251,100.08379364,99.8645095825,100.04283905
1641507345521143462,0,65.5696182251,100.08379364,99.8645095825,100.04283905
1641507345535515900,0,65.5696182251,100.08379364,99.8645095825,100.04283905
1641507345553458322,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345574055898,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345593487612,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345623747050,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345633796732,0,65.7592544556,100.08379364,100.050117493,100.04283905
1641507345654816517,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345673609018,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345701684170,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345713433712,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345733781874,0,65.0007095337,100.08379364,100.050117493,100.04283905
1641507345754375610,0,65.3799819946,100.08379364,100.050117493,99.8048400879
1641507345773415817,0,65.3799819946,100.08379364,100.050117493,99.8048400879
