%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1642146991855197172,0,1023.0,1023.0,1023.0,1023.0
1642146991951743607,0,1023.0,1023.0,1021.0,1023.0
1642146992047126659,0,1023.0,1023.0,1023.0,1023.0
1642146992158913964,0,1019.0,1023.0,1023.0,1023.0
1642146992256538552,0,1023.0,1023.0,1023.0,1023.0
1642146992367238144,0,1023.0,1022.0,1023.0,1023.0
1642146992463085789,0,1023.0,1023.0,1023.0,1023.0
1642146992558808910,0,1023.0,1023.0,1021.0,1023.0
1642146992670133532,0,1023.0,1022.0,1023.0,1023.0
1642146992767583391,0,1023.0,1023.0,1021.0,1023.0
1642146992862822694,0,1020.0,1023.0,1023.0,1023.0
1642146992975145702,0,1023.0,1023.0,1022.0,1023.0
1642146993070459320,0,1023.0,1023.0,1023.0,1023.0
1642146993165902346,0,1023.0,1023.0,1023.0,1023.0
1642146993277475416,0,1022.0,1023.0,1022.0,1023.0
1642146993374109336,0,1023.0,1023.0,1022.0,1023.0
1642146993470200260,0,1023.0,1022.0,1023.0,1023.0
1642146993582135174,0,1022.0,1023.0,1023.0,1022.0
1642146993679240185,0,1023.0,1023.0,1022.0,1023.0
1642146993774445638,0,1023.0,1022.0,1023.0,1023.0
1642146993885224924,0,1023.0,1023.0,1023.0,1023.0
1642146993980605568,0,1023.0,1023.0,1023.0,1023.0
1642146994077550562,0,1023.0,1023.0,1023.0,1023.0
1642146994190213814,0,1023.0,1023.0,1023.0,1022.0
1642146994285807853,0,1023.0,1023.0,1023.0,1023.0
1642146994381021096,0,1022.0,1023.0,1020.0,1023.0
1642146994492072571,0,1023.0,1023.0,1023.0,1023.0
1642146994588915680,0,1023.0,1022.0,1023.0,1023.0
1642146994685126790,0,1023.0,1022.0,1023.0,1023.0
1642146994796337503,0,1023.0,1023.0,1022.0,1023.0
1642146994892253066,0,1023.0,1023.0,1023.0,1023.0
1642146994988683092,0,1023.0,1023.0,1023.0,1022.0
1642146995099400996,0,1023.0,1023.0,1022.0,1023.0
1642146995195556120,0,1023.0,1023.0,1023.0,1023.0
1642146995307043902,0,1021.0,1023.0,1023.0,1023.0
1642146995403136636,0,1023.0,1023.0,1023.0,1023.0
1642146995499399926,0,1022.0,1023.0,1023.0,1023.0
1642146995610716486,0,1022.0,1023.0,1022.0,1023.0
1642146995706758306,0,1023.0,1021.0,1023.0,1023.0
1642146995803522124,0,1023.0,1023.0,1023.0,1022.0
1642146995914322347,0,1021.0,1023.0,1022.0,1023.0
1642146996010446909,0,1023.0,1023.0,1023.0,1023.0
1642146996107479406,0,1023.0,1023.0,1023.0,1023.0
1642146996218214583,0,1022.0,1023.0,1023.0,1022.0
1642146996314220277,0,1020.0,1023.0,1023.0,1023.0
