%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3
1642146991827657701,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991846099091,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991868034988,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991887439136,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991927482129,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991937444334,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991949634780,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991975048521,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146991988741155,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992029181494,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992039305013,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992048266222,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992070174517,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992107603220,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992113684766,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992130456477,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992150179090,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992167960233,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992206088989,0,99.3554458618,100.041275024,102.287696838,142.352935791
1642146992216947494,0,99.3554458618,100.041275024,102.287696838,142.352935791
1642146992230012645,0,99.3554458618,100.041275024,102.287696838,142.352935791
1642146992249986550,0,99.3554458618,100.041275024,102.287696838,142.352935791
1642146992272474847,0,99.3554458618,100.041275024,102.287696838,142.352935791
1642146992310574355,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992318041784,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992334561371,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992346845127,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992370188456,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992403962076,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992409610570,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992434827158,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992445656475,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992491278132,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992498231575,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992510537462,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992528490723,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992552580125,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992574887591,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146992589601713,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992608141422,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992626613116,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992648208119,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992675342382,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992685443771,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992709438650,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992732215881,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992748755507,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992780592378,0,100.11151886,99.9036865234,102.287696838,142.352935791
1642146992787394620,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992810355674,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992829307948,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992861106923,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992870991822,0,100.11151886,100.041275024,88.4228744507,142.352935791
1642146992886379863,0,99.5444641113,100.041275024,102.287696838,142.352935791
1642146992907289085,0,99.5444641113,100.041275024,102.287696838,142.352935791
1642146992934834570,0,99.5444641113,100.041275024,102.287696838,142.352935791
1642146992959405406,0,99.5444641113,100.041275024,102.287696838,142.352935791
1642146992967919295,0,99.5444641113,100.041275024,102.287696838,142.352935791
1642146992987749098,0,99.5444641113,100.041275024,102.287696838,142.352935791
1642146993006467417,0,100.11151886,100.041275024,95.3552856445,142.352935791
1642146993029702708,0,100.11151886,100.041275024,95.3552856445,142.352935791
1642146993060476803,0,100.11151886,100.041275024,95.3552856445,142.352935791
1642146993067933124,0,100.11151886,100.041275024,95.3552856445,142.352935791
1642146993089818721,0,100.11151886,100.041275024,95.3552856445,142.352935791
1642146993110416335,0,100.11151886,100.041275024,102.287696838,142.352935791
1642146993136433700,0,100.11151886,100.041275024,102.287696838,142.352935791
